證券代碼,簡稱,年月,市值(百萬元),收盤價(元)_年,Unknown masked parameter,股價淨值比,股價營收比,M淨值報酬率─稅後,資產報酬率ROA,營業利益率OPM,利潤邊際NPM,負債/淨值比,M流動比率,M速動比率,M存貨週轉率 (次),M應收帳款週轉次,M營業利益成長率,M稅後淨利成長率,Return,ReturnMean_year_Label
1419,新紡,201312,12001.6520,40.0000,0.0093,1.6459,11.9343,0.0225,0.0153,-0.0330,0.1635,0.4715,56.5541,47.8526,4.4238,10.2907,-389.2215,-6.7770,-0.7444,-1
1423,利華,201312,1466.5000,8.3800,0.0003,0.5490,1.7843,-0.0014,-0.0013,-0.0089,-0.0045,0.0916,8172.7376,4294.2010,1.2617,32.6484,88.8199,96.3446,17.8622,-1
1432,大魯閣,201312,3689.7728,22.5000,0.8545,1.6526,4.1092,-0.0510,-0.0411,-0.1751,-0.1269,0.2414,613.9269,417.5661,1.7114,15.0975,-46.0308,-119.8793,75.0973,1
1434,福懋,201312,60732.1588,36.0500,0.1231,1.1203,1.2796,0.0402,0.0284,0.0425,0.0459,0.4134,183.7983,108.1176,6.4461,12.6214,-9.7302,-15.3722,28.7500,1
1435,中福,201312,936.5267,6.7000,0.1598,0.9890,39.1214,-0.0119,-0.0101,-0.5657,-0.4698,0.1798,14343.4952,12281.8859,0.4116,48.5578,37.9672,-1194.0661,0.7519,-1
1436,華友聯,201312,3180.0000,53.0000,0.2043,1.5540,34.0953,-0.0054,-0.0023,-0.2123,-0.1184,1.3526,160.1342,13.2469,0.0230,38.3819,54.1537,83.5675,-3.1079,-1
1437,勤益控,201312,4069.0998,19.9500,0.8385,0.9052,3.0082,-0.1322,-0.0633,-0.1003,-0.4395,1.0908,72.0193,62.9964,10.6150,6.3162,-1012.7656,-4287.8267,28.7097,1
1438,三地開發,201312,521.2745,5.0900,0.1596,0.9749,8.5575,0.0557,0.0491,0.5251,0.4886,0.1344,19774.9797,15858.0960,0.6327,0.0000,1556.2921,195.8648,56.1350,1
1439,雋揚,201312,1416.8000,15.4000,0.5775,0.6828,3.1510,0.0008,0.0007,-0.0441,0.0036,0.0790,9575.5715,9531.2214,66.2203,33.2965,0.9787,119.5317,4.0541,-1
1440,南紡,201312,33524.9204,21.0500,0.3017,1.2921,1.5557,0.0461,0.0330,0.0573,0.0555,0.3987,203.2949,118.4417,5.5366,15.5975,148.8870,77.1281,43.6860,1
1441,大東,201312,922.1187,10.0500,0.7101,0.8596,0.6930,-0.0114,-0.0048,-0.0443,-0.0092,1.3809,132.2695,75.3067,4.1555,9.1000,42.7508,73.2509,5.2356,-1
1442,名軒,201312,7686.0987,36.6500,0.7394,1.6937,1.9230,0.2870,0.1159,0.3489,0.3258,1.4759,492.2016,22.7983,0.3949,247.9488,279.5217,318.4863,47.4849,1
1443,立益物流,201312,1131.4675,8.3600,0.8425,0.7645,0.4977,-0.1182,-0.0313,-0.0753,-0.0769,2.7707,58.0187,32.7177,2.7379,8.6977,46.8962,44.5653,59.8470,1
1444,力麗,201312,10120.0598,11.1000,0.9582,0.8344,0.8183,0.0574,0.0452,0.0134,0.0562,0.2693,193.2520,96.6405,5.7380,15.2415,-83.3638,-25.3485,-3.4783,-1
1445,大宇,201312,1504.5370,10.8500,0.3943,0.7789,0.7208,0.0338,0.0279,0.0214,0.0313,0.2122,570.0083,306.4708,3.9609,7.4928,408.7507,149.6291,47.2185,1
1446,宏和,201312,4082.4032,29.4500,0.9587,2.1307,5.2958,-0.0060,-0.0029,-0.0232,-0.0148,1.0697,710.5771,219.2852,0.3495,8.5912,20.5241,60.4906,70.7246,1
1447,力鵬,201312,11480.5751,14.5000,0.8605,1.0762,0.4332,0.1005,0.0606,0.0297,0.0404,0.6583,143.9874,90.0239,7.8326,6.2958,1247.8116,4327.7301,41.4634,1
1449,佳和,201312,483.5147,1.7500,0.2909,1.0614,0.1299,-0.3541,-0.0406,-0.0546,-0.0434,7.7180,77.9362,47.7585,4.2729,12.1961,8.8190,-1.3266,-16.6667,-1
1451,年興,201312,12280.0000,30.7000,0.8842,1.1765,0.8849,0.0755,0.0548,0.0535,0.0568,0.3786,224.5769,115.7568,3.8751,6.2343,637.1365,-1.4919,51.6049,1
1452,宏益,201312,1439.1592,10.8500,0.5458,0.6853,0.6683,0.0652,0.0587,0.0438,0.0636,0.1114,875.1562,738.0924,9.2408,9.7578,20.0858,52.1891,11.9711,-1
1453,大將,201312,812.8988,9.7000,0.0066,0.8175,2.7433,0.0194,0.0168,0.0446,0.0652,0.1568,724.7799,383.6148,0.8602,26.9381,-88.9460,-83.5836,-13.3929,-1
1454,台富,201312,1168.7806,8.3300,0.4016,0.7089,0.5628,0.0222,0.0176,0.0130,0.0176,0.2636,357.8773,186.6627,3.8780,12.7808,242.4567,310.7455,13.7978,-1
1455,集盛,201312,6331.7512,10.3500,0.6130,0.8414,0.3465,0.0488,0.0267,0.0090,0.0201,0.8300,128.4070,46.9486,5.0040,17.4961,195.5643,654.2763,5.7201,-1
